sample_id	NCBI_accession
bd7c0981-e429-4c3d-a564-146fb9de99e1	SRR19064607
cec0e3ce-57b4-4bb6-9bbb-ac4ec74cfd02	SRR19064606
9cfced69-76e3-4658-ba7b-669107c9f946	SRR19064604
f77926d1-e02a-48da-b35a-04fe0f5f6774	SRR19064603
b442b706-dc54-4bca-89db-ecdb680d3380	SRR19064602
0f4943b5-c4bc-42a7-ae97-4e86f194204b	SRR19064605
40bf59cd-838b-4a26-a916-9de1d7cd9f5a	SRR19064601
c344f175-e908-45aa-bb66-73187d88c7bc	SRR19064853
074cc7b6-e4ec-47ae-90eb-6321dcbadcc8	SRR19064852
5de75d1b-c37f-4ba7-9205-960bca20cf54	SRR19064850
99b6b471-367a-4b8e-9058-f46ea8cdb463	SRR19064849
d3e5ad5a-385a-4020-9c9e-6e376d2f033e	SRR19064848
7178bb69-0d76-4206-9aa4-161e3d93477c	SRR19064851
cc1f30a0-45d9-41b1-b592-7d0892919ee7	SRR19064847
dadab6e8-192a-47b4-aefc-d41c11e7b858	SRR19064846
2815adda-f350-4522-9ac6-3458eb716366	SRR19064845
ea09de60-7bb9-43a2-aa44-7b7d4084bd5d	SRR19064844
9f4168ec-59ed-40f7-a26c-28782d55bec0	SRR19064841
36f2c964-ad31-4a78-81fd-2ba58ee41505	SRR19064840
b3b1bf9a-920a-4149-aa9f-61593d3389f9	SRR19064843
6db9533f-effe-461e-9fc4-2ce9bffe4b4a	SRR19064839
2c03e732-9a87-41c9-a288-79883264317f	SRR19064838
0c4d0bfc-a188-425f-8ae0-83ed80d5ff0f	SRR19064837
ff4e2926-6c63-4d89-ad2b-f699ebf5b949	SRR19064836
50c41490-ed73-442c-96f4-96e513ba5e12	SRR19064835
21e94565-7706-416a-b9bf-78542b195d21	SRR19064834
1629179a-1c00-460b-9857-2d6d8bbe6033	SRR19064833
fa2e12b5-c70f-4946-834f-aab4c7bdddb8	SRR19064831
4598f0f5-e54e-4458-824d-17a13e65a3b5	SRR19064829
d2cd3185-1b50-49d0-8e1c-bb46d00bcb2b	SRR19064828
91045a2a-acfb-48d4-abd1-a41f221e035a	SRR19064827
da4389bb-415c-4ca1-bad6-87fc4f6e9e64	SRR19064830
cb75d314-5fdc-49bf-90fb-1b16ecebae50	SRR19064826
1888d117-875a-4898-8bec-f698670556cb	SRR19064825
21bc0688-dcd4-43b5-bc4c-8f4c1c93e2bd	SRR19064824
f38a067d-c298-4bcb-9b1d-2e2973ab463e	SRR19064823
545218e6-9efc-486f-b5a5-8fd3b6fcbd59	SRR19064821
186dfe45-904c-4de1-a452-f19f66c67ce8	SRR19064819
5148ae04-16f9-461b-8d83-ff96abc5935f	SRR19064822
373d0c88-14e9-4e8c-a031-f5c173a4a53d	SRR19064818
d9d368b9-587a-41b8-84c4-a479500f590a	SRR19064817
6fadf89e-4d6d-4e44-a3b5-65537c3d625c	SRR19064816
4a29eb42-d2b4-44f9-afb7-d27bda5e6dc4	SRR19064815
6504110b-bd35-4cb4-b78f-6672a1eef403	SRR19064813
fbe34c5c-e411-430c-b5c4-a4d4257e7d43	SRR19064812
89853f9d-34a7-4829-8f00-a5f3e6dce97a	SRR19064811
f2d6b1e0-e9c9-4717-9f8a-74b8ea7b8c96	SRR19064814
5a3b60db-013f-4fe2-b6f5-d8b6b10023d4	SRR19064598
bde4eda4-5bd4-4bbe-bf8d-c649707e7078	SRR19064597
0d7306aa-ca56-4f71-8ab7-a857f8cd6efa	SRR19064596
85804684-0946-49d5-bffc-e0f212e49abb	SRR19064594
b6f7be19-814f-4f8c-aa8a-61905f8ccffe	SRR19064593
9951edf8-3930-42c5-bfc0-78797c068188	SRR19064592
56a9866d-fc76-4c10-a43f-5de7bc2973be	SRR19064595
1dbe5e94-c06e-4a4a-8b71-0e022915963e	SRR19064591
22aab9e2-c3c3-40d4-a0f6-7aa932ebc66d	SRR19064590
f365b0d4-924e-493f-9683-bf612e37b5be	SRR19064589
a27b4106-b551-4af0-a181-0d682021299f	SRR19064586
b7f21197-57df-45ef-82f6-ff12639ca383	SRR19064585
734ca5da-f555-4b7c-a280-1527ec6a34c8	SRR19064584
e4179ad1-d77a-4175-9493-6d8b9ac89556	SRR19064587
b23a5e0a-bbda-4e35-a0d9-838e6655ae80	SRR19064583
bc174bec-1b89-45a9-838c-060712bf23a9	SRR19064582
14b8d753-803b-4767-8e15-0986c0523130	SRR19064581
a33a3e0d-9552-4422-b2aa-c3d6cf3ec43b	SRR19064580
79ec7cdb-6bbd-41bc-9e9a-9cf5ef5fd271	SRR19064578
202b1bbf-594e-46b9-9264-5ef032833a4f	SRR19064810
1d6e7812-3cea-4763-995d-fb6e63656269	SRR19064808
614ec5bc-68c0-4fd2-8fd6-6548c1c69ce1	SRR19064807
a0dd8fd3-dc5c-43e5-b6c4-780453d0c73e	SRR19064806
e15da6e0-2a8e-4b5e-aa35-276a9d8706ee	SRR19064805
85e34e66-c285-4d07-9d38-58d8472ec06c	SRR19064803
b9c1bf38-3537-4890-8aa0-318fba730c96	SRR19064802
212cb780-487c-4a5f-b188-95212463b4c6	SRR19064801
87e8974d-127b-44be-94f3-641dd18e496b	SRR19064804
9c467d85-53e8-42d8-9ca3-e12fb1eaf362	SRR19064800
3cb18bc6-6d51-43ee-8392-58d4f37b97ed	SRR19064799
34590e00-3dde-4508-8fd8-ce17d0402f43	SRR19064797
